task_title,task_description,location,materials,constraints,categories,skills_required,primary_type,group_or_solo,special_elements,alex_horne_role,series,episode,task_id,weirdness_score,creativity_required_score,physical_demand_score,technical_difficulty_score,entertainment_value_score,time_pressure_score,preparation_possible_score,luck_factor_score,task_unique_id,show_title,standardized_location,location_category,standardized_task_type,standardized_group_solo,std_weirdness_score,std_creativity_required_score,std_physical_demand_score,std_technical_difficulty_score,std_entertainment_value_score,std_time_pressure_score,std_preparation_possible_score,std_luck_factor_score
Unshackle yourself and sprint one metre,Contestants must crack a code to unshackle themselves from a bench and then sprint one metre to a finish line. The fastest contestant wins.,Studio stage (live task),"['Chains', 'Four-digit combination lock', 'Bench', 'Finish line']","[""Contestants couldn't move from the bench until they cracked the code."", ""The code was a four-digit number derived from Alex Horne's and Greg Davies's weights in stone."", 'The task was time-based, with speed being the only criterion for winning.']","['Puzzle-solving', 'Physical', 'Time-based', 'Mental challenge']","['Quick thinking', 'Memory recall', 'Manual dexterity', 'Composure under pressure']",Mental,Solo,[],"Alex provided the crucial clue about the weights in stone, facilitating the contestants' deduction process.",1,2,11,7,3,2,5,8,9,1,4,1_2_11,Taskmaster UK,Studio,Studio/Stage,Physical,Solo,8,3,4,5,7,9,6,2
The Most Meaningful Item,"Contestants were asked to bring in an item from home that they deemed the most meaningful. The task involved presenting and justifying the importance of the item to Greg Davies, the Taskmaster.",Studio,['Contestants brought their own items from home.'],"['Each contestant had to choose an item that they personally found meaningful.', 'The items had to be physical objects they could bring to the studio.']","['Personal significance', 'Presentation', 'Justification', 'Emotional value']","['Persuasiveness', 'Emotional intelligence', 'Storytelling', 'Creativity in justification']",Artistic/Performance-based,solo,['Involved storytelling and emotional expression.'],Alex introduced the task and facilitated the presentations.,1,3,12,5,7,1,1,8,2,9,2,1_3_12,Taskmaster UK,Lab,Inside House,Performance-based,Solo,7,8,2,3,9,4,3,2
Throw a teabag into a mug,Contestants were required to throw a teabag into a mug from the greatest possible distance. They were allowed to move around the Taskmaster house to find optimal throwing positions.,In and around the Taskmaster House,"['Several jars of teabags (both round and pyramidal)', 'A mug', 'A tape measure for recording distances']","['Contestants had 45 minutes to complete the task.', ""The task's goal was to throw a teabag into a mug from the furthest distance.""]","['Physical', 'Creative Problem Solving', 'Time-based']","['Hand-eye coordination', 'Strategic thinking', 'Creative problem-solving', 'Time management']",Primarily physical and creative problem-solving,Solo,[],"Alex Horne provided instructions, measured distances, and assisted in the task setup.",1,3,13,7,8,5,6,9,6,2,5,1_3_13,Taskmaster UK,Lounge,Inside House,Physical,Solo,8,6,4,3,7,5,3,5
"Using this device to track your route, create the best image for Taskmaster.","Contestants were required to create an image by physically moving around while carrying a GPS tracking device. Their movements were recorded to create a visual representation of their path, which was then judged as an artwork.",Outdoors,"['GPS tracking device', 'Balloons']","['One-hour time limit', 'Drawing created solely through physical movement', 'Pop a balloon to signal the end']","['Art', 'Physical', 'Time-based', 'Creativity']","['Spatial awareness and planning', 'Physical stamina and movement', 'Creative thinking and imagination', 'Strategic movement planning', 'Time management']",artistic,solo,[],"Alex Horne provided the task instructions and managed the logistics, such as explaining how the GPS device works.",1,3,14,8,9,7,6,8,7,2,3,1_3_14,Taskmaster UK,Garden,Outside House,Creative,Solo,8,9,7,6,8,5,4,3
Buy a gift for the Taskmaster,"Contestants were tasked with buying the best present they could for the Taskmaster, Greg Davies, using a budget of £20. They had ten weeks to complete this task, and the interpretation of 'best' was left to the contestants.","The task was conducted outside of the studio, with gifts presented and judged in the studio.",['£20 note'],"['Budget limit of £20.', 'Time limit of ten weeks.', 'The gift had to be judged as the best by the Taskmaster.']","['Creativity', 'Gift-giving', 'Humor', 'Personalization', 'Time-based']","['Creativity', ""Understanding of the Taskmaster's humor and preferences"", 'Resourcefulness', 'Planning and execution over an extended period', 'Presentation skills']",artistic,solo,['Involved personal interpretation and presentation of gifts.'],Alex played the role of informing and assisting the Taskmaster in the assessment of gifts.,1,3,15,7,9,1,2,9,3,8,2,1_3_15,Taskmaster UK,Lab,Inside House,Creative,Solo,6,9,2,3,8,4,3,5
Get an egg as high as possible,"Contestants were tasked with getting an egg as high as possible within a time limit, using only the materials provided. The egg must not break; breaking the egg resulted in disqualification.",The task took place in the lab room of the Taskmaster house.,"['One egg', 'Coloring pens', 'A measuring tape', 'Scissors', 'Paper']","['The egg must not break; breaking it leads to disqualification.', 'Only the provided materials could be used.', 'Contestants had 20 minutes to complete the task.']","['Engineering', 'Creativity', 'Time-based', 'Problem-solving']","['Creativity in using available materials', 'Engineering/problem-solving skills to construct a stable structure', 'Dexterity in handling the egg', 'Time management to complete within the limit']",Engineering,Solo,[],Alex Horne provided the task instructions and ensured the rules were followed.,1,3,16,7,9,3,7,8,8,3,4,1_3_16,Taskmaster UK,Lab,Inside House,Engineering,Solo,8,9,4,6,7,8,3,2
Stand up after 100 seconds,Contestants were instructed to remain seated and stand up once they believed 100 seconds had elapsed. The contestant closest to the 100-second mark won the task.,Studio,[],"['Contestants had to remain seated until they believed 100 seconds had passed.', ""The task began on Alex Horne's signal."", 'Once stood up, contestants could not sit back down.']","['Time-based', 'Mental challenge', 'Studio task']","['Time perception', 'Concentration', 'Patience', 'Mental counting ability']",Mental,Solo,[],Taskmaster's assistant; he initiated the task and monitored the timing.,1,3,17,6,2,1,2,7,8,1,3,1_3_17,Taskmaster UK,Lab,Inside House,Mental,Solo,7,3,2,4,6,8,3,5
"Please give me Frank Skinner's age, in minutes.",The task required contestants to estimate the total number of minutes Frank Skinner had been alive at the time of recording. It was a mental challenge involving calculations based on an estimation of Frank's age and the conversion of that age into minutes.,Taskmaster studio as a live tie-breaker.,[],['The contestant with the guess closest to the actual number of minutes would win.'],"['Time-based', 'Mental calculation', 'Estimation', 'Tie-breaker']","['Mental arithmetic', 'Estimation skills', ""Knowledge of Frank Skinner's approximate age"", 'Ability to convert time units (years to minutes)']",Mental,Solo,[],"Alex assisted in presenting and facilitating the task, likely verifying calculations.",1,3,18,7,3,1,5,8,7,2,5,1_3_18,Taskmaster UK,Studio,Studio/Stage,Mental,Solo,8,6,1,4,7,5,3,2
The Most Beautiful Item,"Contestants were asked to bring in what they considered to be 'the most beautiful item.' This was a prize task, where each contestant had to bring a personal item from home, which they deemed beautiful, to present in the studio.",Studio,"['vacuum cleaner cover', 'magic eye artwork', 'cardigan', 'statuette', 'flight ticket']","['Contestants were constrained by the subjective nature of beauty and had to rely on their aesthetic judgment.', 'They had to choose an item they already owned.']","['Art and Aesthetics', 'Subjective Judgment', 'Personal Memorabilia', 'Prize Task']","['Aesthetic Judgment', 'Persuasiveness', 'Creativity', 'Personal Insight', 'Presentation Skills']",Artistic,Solo,['Involved elements of personal storytelling and persuasion.'],Alex Horne assisted in presenting the task and provided comedic support during the judging process.,1,4,19,6,7,1,1,8,2,8,3,1_4_19,Taskmaster UK,Studio,Studio/Stage,Creative,Solo,7,9,2,3,8,1,3,2
Make this ice block disappear as fast as possible.,"Contestants were tasked with making a large block of ice disappear as quickly as possible using any available resources within the Taskmaster house and its surroundings. The task was open to interpretation regarding what 'disappear' meant, though it was clarified that it should not be visible.","The task took place at the Taskmaster house, utilizing various indoor spaces like the bathroom and potentially the kitchen, as well as outdoor areas.","['Large block of ice', 'Household items', 'Appliances', 'Kettles', 'Bath', 'Outdoor spaces']","['The ice block had to disappear within one hour.', ""The definition of 'disappear' was somewhat open-ended but meant it should no longer be visible.""]","['Time-based', 'Physical', 'Problem-solving', 'Creative interpretation']","['Lateral thinking', 'Problem-solving', 'Resourcefulness', 'Physical strength', 'Creativity']",Primarily physical and problem-solving.,Performed individually.,[],"Alex Horne provided clarification on the task and assisted some contestants (notably Roisin Conaty), which led to some humorous interactions.",1,4,20,7,8,5,4,9,6,2,3,1_4_20,Taskmaster UK,Bathroom,Inside House,Physical,Solo,8,9,7,4,8,7,3,5
Score 11 Points,"Contestants were instructed to ""Get to 11 points as fast as possible."" The task did not provide any explanation on how to score points, requiring contestants to experiment and observe to discover the scoring mechanism.",Squash court,"['Squash racquets', 'A waste paper bin', 'Standard squash court equipment', 'Personal items contestants brought, like glasses and hairbands']","['The main rule was to reach 11 points quickly.', 'No guidance on how to score points was given, meaning discovery was part of the challenge.', 'No restrictions on movement or use of props.']","['Mental', 'Time-based', 'Observation']","['Keen observation', 'Deductive reasoning', 'Teamwork', 'Perseverance']",Mental,Group,[],"Alex was the observer, noting the contestants' actions and the resulting scoreboard changes.",1,4,23,8,7,3,7,9,6,1,8,1_4_23,Taskmaster UK,Other,Other Locations,Problem-solving,Solo,8,7,2,4,9,8,10,5
Fill an eggcup with tears,Contestants were instructed to fill an eggcup with as many tears as possible within 20 minutes. The task required generating genuine tears to collect in the eggcup.,"Indoor task, likely in the Taskmaster house.","['An eggcup', 'Onions', 'Chili sauce']","['20-minute time limit', 'Tears had to be genuine']","['Physical', 'Time-based', 'Emotional']","['Creativity', 'Mental fortitude', 'Physical endurance']",Physical and mental,Solo,['Involved emotional manipulation and physical discomfort'],Oversight and validation of tears collected,1,4,24,9,7,6,2,8,7,3,3,1_4_24,Taskmaster UK,Lab,Inside House,Mental,Solo,9,8,4,3,7,5,9,2
Memorise the names of an Australian Rules Football team.,"Contestants were required to memorize the names of an Australian Rules Football team as they were introduced. After the introductions, each contestant was given three names to recall and introduce to Greg Davies, the Taskmaster.",Studio,"['A list of names representing an Australian Rules Football team', 'Possibly name tags for the actors playing the team members']","['The task was scored based on accuracy, with the most accurate memory recall winning.', 'Contestants had to memorize the names in a short time as the team members walked past.']","['Memory', 'Mental challenge', 'Performance-based', 'Time-based']","['Short-term memory', 'Focus and concentration', 'Quick information processing', 'Confidence in presentation']",Mental,solo,[],Alex Horne likely facilitated the task by introducing the contestants to the team members and coordinating the flow of the task.,1,4,26,6,5,1,7,8,7,2,3,1_4_26,Taskmaster UK,Lab,Inside House,Mental,Solo,6,3,2,4,7,8,3,2
The Most Valuable Item,Contestants were tasked with bringing in what they considered to be their most valuable item from home. The items were presented in the studio and judged by Greg Davies based on their perceived value.,Studio,['Personal items brought from home by each contestant'],"['Each contestant could bring only one item.', 'The item had to be something they considered valuable.']","['Prize-based', 'Creative', 'Subjective', 'Single brief']","['Persuasion', 'Creativity', 'Presentation skills']",Creative,Solo,[],"Assistant, facilitating the task and providing commentary alongside Greg Davies.",1,5,27,6,8,1,2,7,3,9,4,1_5_27,Taskmaster UK,Lab,Inside House,Creative,Solo,7,8,2,3,9,4,3,5
Move the boulder as far as possible,"Contestants were instructed to move a large boulder as far away from the Taskmaster House as possible within one hour. They could choose any method to achieve this, including using public transportation.","The task took place at the Taskmaster House, starting from the garage where the boulder was located.",['large boulder'],"['The task had to be completed within one hour.', 'Contestants could use public transportation or hire services to assist them.', 'The distance would determine the winner.']","['Physical', 'Problem-solving', 'Time-based', 'Creativity-driven', 'Transportation']","['Physical strength and endurance', 'Strategic thinking and problem-solving', 'Time management', 'Negotiation skills (e.g., if hiring transport services)', 'Initiative and decisiveness']",Physical with strategic planning,Solo task,"['strategic planning', 'logistics']","Alex served as a facilitator and observer, providing updates on time remaining and engaging with contestants about their strategies.",1,5,28,7,8,6,4,9,8,3,5,1_5_28,Taskmaster UK,Garage,Outside House,Physical,Solo,8,7,9,4,8,7,5,3
Grow the longest nail,Contestants were tasked with growing the longest nail possible over a ten-week period. They could choose to grow either a finger or a toenail. The results were measured and judged in the studio.,This was a long-term task completed individually by contestants over a ten-week period. The results were revealed and judged in the studio.,['Task brief attached to a bunch of balloons'],"['Contestants had ten weeks to grow the nail.', 'They could choose between a finger or toenail.', 'The nail had to be measured in the studio.']","['Time-based', 'Physical', 'Patience-related', 'Appearance-based']","['Patience', 'Nail care and maintenance', 'Strategic thinking (choosing which nail to grow)', 'Commitment']",patience and maintenance-based,solo,[],Alex Horne introduced the task and assisted with the measurement and verification of the results in the studio.,1,5,29,8,3,2,2,7,9,5,3,1_5_29,Taskmaster UK,Lab,Inside House,Physical,Solo,9,6,2,4,8,3,3,5
Make a bed while holding hands,Contestants were instructed to make a bed to hotel standards while holding hands. The task was complete when all team members got into the bed. The fastest team to finish was declared the winner.,"Taskmaster house, indoors.","['An unmade bed including a mattress', 'fitted sheet', 'duvet cover', 'duvet', 'pillows', 'pillowcases']","['Contestants had to hold hands with their teammates at all times.', ""The bed had to be made to a 'hotel standard.'"", 'Time stopped when all team members were in the bed.', 'The task was judged based on speed.']","['Teamwork', 'Time-based', 'Physical coordination', 'Problem-solving']","['Teamwork and communication', 'Problem-solving', 'Physical coordination and dexterity', 'Patience and adaptability']",physical,group,[],"Alex Horne served as the task overseer, providing instructions and timing the task.",1,5,30,7,6,5,6,8,7,3,4,1_5_30,Taskmaster UK,Other,Other Locations,Physical,Group,9,7,6,4,8,7,3,2
Make a Swedish person blush,"Contestants were instructed to make a Swedish person blush. This task required them to interact with a Swedish individual, Fred, and attempt to embarrass or fluster him.",Taskmaster house,[],"['Contestants had a limited time to complete the task (10 minutes)', 'They had to make Fred blush as deeply as possible']","['Social interaction', 'Performance', 'Psychological', 'Time-based']","['Social boldness', 'Creativity in communication', 'Understanding of human psychology', 'Quick thinking under pressure']",Performance-based,Solo,['Involved acting and improvisation'],"Alex Horne served as the task setter and observer, providing commentary on the contestants' approaches.",1,5,31,8,9,2,3,8,6,2,4,1_5_31,Taskmaster UK,Lounge,Inside House,Performance-based,Mixed,8,7,2,4,9,5,6,3
Inflate the Largest Balloon While Blindfolded,"Contestants were required to inflate a balloon to the largest possible size while blindfolded. They had 100 seconds to complete the task, and the balloon needed to be tied at the end of the time. If the balloon burst, it would not count as the biggest.",Studio (Live task with an audience present),"['One un-inflated balloon per contestant', 'A blindfold for each contestant']","['Contestants must remain blindfolded throughout the task.', 'Only 100 seconds were given to inflate and tie the balloon.', 'Each contestant had only one balloon; if it burst, no second attempt was allowed.', 'The balloon must be tied at the end of the time to qualify.']","['Physical', 'Time-based', 'Precision', 'Performance-based']","['Spatial awareness (inflating and tying a balloon without sight)', 'Manual dexterity (tying a knot in a balloon blindfolded)', 'Self-control (avoiding over-inflation and bursting)', 'Ability to manage nerves under time pressure and in front of a live audience']",physical,solo,['Blindfolded constraint added a unique challenge'],"Alex Horne acted as the task overseer, providing instructions and timing the task with a whistle.",1,5,32,7,3,5,6,9,8,2,4,1_5_32,Taskmaster UK,Studio,Studio/Stage,Physical,Solo,8,6,5,7,9,8,4,3
The Most Satisfying Item,"Contestants were tasked with bringing in what they considered to be their most satisfying item. The task involved presenting these items to the Taskmaster, Greg Davies, who judged them based on how satisfying they were.",Taskmaster studio,[],['Contestants had to choose an item they personally found satisfying.'],"['Personal Possession', 'Creativity', 'Presentation', 'Emotional Appeal']","['Creative interpretation', 'Self-awareness', 'Persuasive presentation', 'Emotional intelligence']",performance,solo,['Involved personal storytelling and justification.'],"Alex acted as the host alongside Greg, facilitating the task but not directly influencing the outcomes.",1,6,33,6,8,1,2,7,1,9,2,1_6_33,Taskmaster UK,Lab,Inside House,Performance-based,Solo,7,9,2,3,8,1,4,3
Get the lowest golf score using eggs.,"Contestants were required to play a mini golf course using chicken's eggs instead of golf balls. The objective was to complete the course with the lowest score, calculated by multiplying the number of strokes (sh*ts), eggs used, and minutes taken.",Outdoors on a mini golf course,"[""Chicken's eggs"", 'Golf clubs']","['Players had to use eggs instead of traditional golf balls', 'Scoring system was based on the formula: strokes times eggs used times minutes taken']","['Physical', 'Time-based', 'Game/sports-related', 'Humor-based']","['Delicacy and precision', 'Problem-solving', 'Time management', 'Creativity']",Physical,Solo,[],"Presenter and overseer of the task, providing instructions and commentary.",1,6,34,9,7,5,6,8,6,2,5,1_6_34,Taskmaster UK,Garden,Outside House,Physical,Solo,9,8,4,5,7,6,3,2
Stage a realistic home movie blooper,"Contestants were asked to create a realistic blooper scene as if from a home movie. They had one hour to plan, stage, and film the blooper, leveraging the comedic potential inherent in home movie mishaps.","The task was performed in and around the Taskmaster House, which was used to emulate a typical home setting.",['Any props or materials available in the Taskmaster house'],"['The blooper needed to appear realistic, as if from a genuine home movie.', 'Contestants had a strict time limit of one hour.', 'The task was performed in teams: Frank Skinner & Tim Key, and Josh Widdicombe, Roisin Conaty & Romesh Ranganathan.']","['Performance-based', 'Creative', 'Time-based', 'Teamwork']","['Improvisational acting', 'Creativity in staging and conceptualization', 'Team coordination', 'Understanding comedic timing and execution']",Performance-based,Group,['Involved acting and comedic performance'],"Alex Horne facilitated the task, observed the team's progress, and participated in the performance as an actor in the losing team's blooper.",1,6,35,5,8,3,4,9,7,2,3,1_6_35,Taskmaster UK,Other,Other Locations,Creative,Group,6,9,4,5,8,7,3,2
Make an alphabet meal,Contestants had to prepare the best meal for the Taskmaster using ingredients starting with each letter of the alphabet from A to Z within a two-hour time limit.,Taskmaster lab,"['Cooking aprons for each contestant', 'A blackboard listing all the letters of the alphabet for planning', 'Ingredients labeled with stickers in the Taskmaster font, corresponding to different letters', 'Kitchen facilities and utensils for cooking and preparing the meal']","['The meal must include ingredients starting with every letter of the alphabet (A to Z)', 'Contestants had exactly two hours to prepare the meal', 'The meal should be edible and presented to Alex Horne for tasting']","['Food-related', 'Creative', 'Time-based', 'Mental challenge']","['Creativity in ingredient selection and meal design', 'Planning and organization for covering all letters', 'Cooking skills to prepare an edible and appealing meal', 'Time management to complete the task within the given timeframe', 'Resourcefulness in utilizing available ingredients']",mental,solo,[],"Alex Horne acted as the taster and judge, providing feedback on each meal.",1,6,36,9,10,3,7,8,8,2,4,1_6_36,Taskmaster UK,Lab,Inside House,Creative,Solo,8,9,4,6,8,7,3,2
Separate the blue sweets,Contestants were tasked with separating the blue sweets (M&Ms) from a mixed bowl of sweets and placing them into an empty bowl. This had to be done while wearing boxing gloves. The contestant with the most blue sweets in the bowl after subtracting any non-blue sweets won the task.,This task took place as a live task in the studio in front of the audience and Taskmaster Greg Davies.,"['A large bowl or container filled with mixed colored sweets (specifically M&Ms)', 'An empty bowl for collecting blue sweets', 'A pair of boxing gloves for each contestant']","['Contestants must wear boxing gloves throughout the task.', 'Only blue sweets placed in the bowl count positively.', 'Non-blue sweets placed in the bowl are subtracted from the total.', 'Time limit of 100 seconds.']","['Physical', 'Time-based', 'Dexterity', 'Live audience']","['Fine motor skills and dexterity', 'Visual discrimination', 'Patience and accuracy', 'Quick adaptive thinking']",Physical,Solo,[],Alex Horne likely served as the task overseer and scorekeeper during this live task.,1,6,37,7,3,5,7,8,9,2,3,1_6_37,Taskmaster UK,Studio,Studio/Stage,Physical,Solo,8,3,6,4,7,5,3,2
The Most Important Document,"Contestants were instructed to bring in a document that they personally considered the most important. This was presented as the prize task at the beginning of the episode, where contestants explained the significance of their chosen documents to the Taskmaster, Greg Davies, who judged their entries.",Studio,['Contestants were responsible for selecting and bringing their own document.'],"['Each contestant had to submit one document.', 'There were no restrictions on the type of document.', 'The task winner would win all the documents brought in.']","['Personal significance', 'Presentation', 'Prize task', 'Interpretation', 'Sentiment vs. material value']","['Emotional intelligence', 'Creativity', 'Persuasive communication', 'Personal insight', 'Risk assessment']",Performance-based,Solo,[],Co-presenter and facilitator during the studio presentation.,2,1,38,3,7,1,1,8,2,9,2,2_1_38,Taskmaster UK,Studio,Studio/Stage,Performance-based,Solo,7,9,2,3,8,5,4,3
Place the Exercise Balls on the Yoga Mat,"Contestants were required to transport three identical blue exercise balls from the bottom of a hill to a pink yoga mat positioned at the top of the hill. The task was complete when all three balls were fully inflated, stationary, and on the mat. The fastest contestant to complete this won.","Outdoor, specifically at Northala Fields.","['Three identical blue exercise balls', 'A pink yoga mat']","['All three exercise balls had to be fully inflated and stationary on the mat.', 'The task was based on time, with the fastest completion winning.']","['Physical', 'Time-based', 'Strategy', 'Outdoor']","['Physical stamina', 'Strategic planning', 'Problem-solving', 'Time management']",Physical,solo,[],Alex Horne was present to time the contestants and enforce task rules.,2,1,39,6,7,8,5,8,9,2,3,2_1_39,Taskmaster UK,Public Location,Other Locations,Physical,Solo,6,4,8,3,7,9,3,2
